Creek,Antenna,Longitude,Latitude
Phillippi,SedimentTrapB,-82.499477,27.326134
Phillippi,Tanglewood,-82.508631,27.311757
Phillippi,Riverview,-82.521402,27.28313
Phillippi,Sperandeo,-82.510186,27.311775
Phillippi,Byron,-82.510443,27.309247
Phillippi,Oskamp,-82.512281,27.304939
Phillippi,Duncan,-82.517611,27.302968
Phillippi,Tucci1,-82.526341,27.276147
Phillippi,Tucci2,-82.529169,27.276249
Phillippi,Brown,-82.526347,27.27506
Phillippi,Brown,-82.526211,27.27496
Phillippi,Chapman,-82.529035,27.272518
Phillippi,Chapman,-82.529035,27.272518
